condition_id,repeat_index,iteration,winner_score,winner_aesthetic,winner_novelty,distinct_commands,nesting_depth,color_changes,code_length,spatial_entropy,fill_ratio,symmetry_score,num_variants_generated,num_variants_valid,model_used,modifier_latency_ms,critic_latency_ms
s1__t1__gpt_5_4_mini__m5v2db,2,10,11,8,6,6,1,1,122,1.8921,0.1297,0.8366,3,3,gpt-5.4-mini,1166,2127
s1__t1__gpt_5_4_mini__m5v2db,2,11,9.5,7,5,6,1,1,122,1.5655,0.1251,0.8515,3,3,gpt-5.4-mini,1223,2306
s1__t1__gpt_5_4_mini__m5v2db,2,12,10,8,4,6,1,1,122,1.8143,0.1594,0.8562,3,3,gpt-5.4-mini,1421,2194
s1__t1__gpt_5_4_mini__m5v2db,2,13,10,7,6,6,1,1,123,1.5504,0.106,0.9051,3,3,gpt-5.4-mini,1306,2715
s1__t1__gpt_5_4_mini__m5v2db,2,14,10,8,4,6,1,1,123,1.5851,0.1282,0.8842,3,3,gpt-5.4-mini,1204,3165
s1__t1__gpt_5_4_mini__m5v2db,2,15,11.5,9,5,6,1,1,123,1.4374,0.111,0.8894,3,3,gpt-5.4-mini,1295,2250
s1__t1__gpt_5_4_mini__m5v2di,0,1,8,8,0,2,0,0,25,2.224,0.2273,0.994,3,3,gpt-5.4-mini,1205,1867
s1__t1__gpt_5_4_mini__m5v2di,0,2,11,8,6,6,0,0,71,2.4556,0.2935,0.939,3,3,gpt-5.4-mini,1263,1918
s1__t1__gpt_5_4_mini__m5v2di,0,3,11.5,9,5,6,0,0,102,2.3744,0.2662,0.959,3,3,gpt-5.4-mini,1304,2314
s1__t1__gpt_5_4_mini__m5v2di,0,4,12.5,9,7,6,0,0,169,2.224,0.2247,0.9939,3,3,gpt-5.4-mini,1624,2255
s1__t1__gpt_5_4_mini__m5v2di,0,5,8.5,8,1,6,0,0,310,2.224,0.2247,0.9939,3,3,gpt-5.4-mini,2179,1873
