condition_id,repeat_index,iteration,winner_score,winner_aesthetic,winner_novelty,winner_parsimony,score_drop_warning,distinct_commands,nesting_depth,color_changes,code_length,spatial_entropy,fill_ratio,symmetry_score,num_variants_generated,num_variants_valid,model_used,modifier_latency_ms,critic_latency_ms
s1__t3__gemini_2_5_flash_preview_09_2025__m5v2db,2,1,19.1,6,9,8.2,0,5,2,2,106,1.7952,0.0497,1,3,3,gemini-2.5-flash-preview-09-2025,8875,3262
s1__t3__gemini_2_5_flash_preview_09_2025__m5v2db,2,2,18.6,8,7,7.2,0,7,3,2,198,0,0,1,3,3,gemini-2.5-flash-preview-09-2025,21874,3440
s1__t3__gemini_2_5_flash_preview_09_2025__m5v2db,2,3,18.6,8,7,7.2,0,7,3,2,190,0,0,1,3,3,gemini-2.5-flash-preview-09-2025,16052,5806
s1__t3__gemini_2_5_flash_preview_09_2025__m5v2db,2,4,18.6,8,7,7.2,0,6,3,2,198,2.6843,0.5971,0.9479,3,3,gemini-2.5-flash-preview-09-2025,21838,5255
s1__t3__gemini_2_5_flash_preview_09_2025__m5v2db,2,5,17.8,8,7,5.6,0,8,4,2,291,2.5781,0.5832,0.9118,3,3,gemini-2.5-flash-preview-09-2025,13871,3547
s1__t3__gemini_2_5_flash_preview_09_2025__m5v2db,2,6,17.7,8,7,5.4,0,9,4,2,339,2.305,0.4658,0.8938,3,3,gemini-2.5-flash-preview-09-2025,11696,6284
s1__t3__gemini_2_5_flash_preview_09_2025__m5v2db,2,7,18.6,9,7,5.2,0,9,4,2,405,2.1985,0.4329,0.9301,3,3,gemini-2.5-flash-preview-09-2025,22805,3642
s1__t3__gemini_2_5_flash_preview_09_2025__m5v2db,2,8,16.3,8,6,4.6,0,10,4,2,454,2.0818,0.4291,0.9523,3,3,gemini-2.5-flash-preview-09-2025,19976,3565
s1__t3__gemini_2_5_flash_preview_09_2025__m5v2db,2,9,18.3,9,7,4.6,0,10,4,2,434,1.8871,0.4713,0.9722,3,3,gemini-2.5-flash-preview-09-2025,7607,3733
s1__t3__gemini_2_5_flash_preview_09_2025__m5v2db,2,10,17.4,8,7,4.8,0,11,4,3,500,2.1635,0.465,0.9789,3,3,gemini-2.5-flash-preview-09-2025,15279,3881
s1__t3__gemini_2_5_flash_preview_09_2025__m5v2db,2,11,17.4,8,7,4.8,0,11,4,3,511,1.966,0.3198,0.9873,3,3,gemini-2.5-flash-preview-09-2025,8226,3553
s1__t3__gemini_2_5_flash_preview_09_2025__m5v2db,2,12,16.3,8,6,4.6,0,11,4,3,515,2.0758,0.4391,0.9788,3,3,gemini-2.5-flash-preview-09-2025,16120,5271
s1__t3__gemini_2_5_flash_preview_09_2025__m5v2db,2,13,16.3,8,6,4.6,0,11,4,3,510,2.2469,0.4208,0.9604,2,2,gemini-2.5-flash-preview-09-2025,43784,2875
s1__t3__gemini_2_5_flash_preview_09_2025__m5v2db,2,14,8.3,6,0,4.6,1,11,4,3,510,2.2469,0.4208,0.9604,2,2,gemini-2.5-flash-preview-09-2025,50457,4715
s1__t3__gemini_2_5_flash_preview_09_2025__m5v2db,2,15,17.2,8,7,4.4,0,11,4,3,552,2.2258,0.4443,0.9254,3,3,gemini-2.5-flash-preview-09-2025,15931,5947
